Reference, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
"J2","87520-0010BLF","875200010BLF","https://componentsearchengine.com/Datasheets/1/87520-0010BLF.pdf","USB 2.0 Type A receptacle white","7.8","Amphenol","87520-0010BLF","649-87520-0010BLF","https://www.mouser.co.uk/ProductDetail/Amphenol-FCI/87520-0010BLF?qs=x6EjVpvqMVP%2F2to87x7cdQ%3D%3D"
"J1","UP2-AH-1-TH","UP2-AH-1-TH","http://www.cui.com/product/resource/up2-ah-th.pdf","USB Connectors USB 2.0 type A plug 4 pin Horizontal TH","","CUI Inc.","UP2-AH-1-TH","490-UP2-AH-1-TH","https://www.mouser.co.uk/ProductDetail/CUI-Devices/UP2-AH-1-TH?qs=5mqXD9RfOg0slNuu3mCk4w%3D%3D"
